id,time,sum_flow,avg_speed
R001_SM3,2019-04-25 01:45:00,3,34.8333333333333
R002_S1,2019-04-25 01:45:00,2,5.0
R002_S2,2019-04-25 01:45:00,0,0.0
R002_S4,2019-04-25 01:45:00,0,0.0
R002_S5,2019-04-25 01:45:00,6,29.0
R003_SM7,2019-04-25 01:45:00,6,64.25
R003_SM8,2019-04-25 01:45:00,3,21.0
R003_SM9,2019-04-25 01:45:00,2,28.2
R028_S1,2019-04-25 01:45:00,4,5.75
R028_S2,2019-04-25 01:45:00,1,2.0
R028_S3,2019-04-25 01:45:00,3,39.3333333333333
R029_S1,2019-04-25 01:45:00,1,16.5
R029_S2,2019-04-25 01:45:00,2,38.5
R030_S2,2019-04-25 01:45:00,5,48.2
R031_S1,2019-04-25 01:45:00,3,21.2857142857143
R031_S2,2019-04-25 01:45:00,3,29.6666666666667
R032_S2,2019-04-25 01:45:00,0,12.0
R032_SM46,2019-04-25 01:45:00,0,5.0
R069_S1,2019-04-25 01:45:00,3,11.6666666666667
R069_S4,2019-04-25 01:45:00,11,28.0
R069_SM67,2019-04-25 01:45:00,5,20.9
R071_S2,2019-04-25 01:45:00,2,22.25
R074_S1,2019-04-25 01:45:00,0,0.0
R074_S3,2019-04-25 01:45:00,0,0.0
R077_S2,2019-04-25 01:45:00,1,22.3333333333333
R085_S1,2019-04-25 01:45:00,0,0.0
R085_S2,2019-04-25 01:45:00,1,1.0
R116_S1,2019-04-25 01:45:00,1,18.5
R116_S2,2019-04-25 01:45:00,1,48.0
R131_S1,2019-04-25 01:45:00,0,0.0
R131_S2,2019-04-25 01:45:00,7,43.7142857142857
R131_SM82,2019-04-25 01:45:00,8,43.7333333333333
R131_SM83,2019-04-25 01:45:00,3,51.0
R133_S2,2019-04-25 01:45:00,1,41.0
R133_S4,2019-04-25 01:45:00,1,76.0
R134_S1,2019-04-25 01:45:00,2,28.5
R134_S2,2019-04-25 01:45:00,1,11.0
R135_S1,2019-04-25 01:45:00,1,34.5
R135_S2,2019-04-25 01:45:00,1,12.5
R141_S1,2019-04-25 01:45:00,0,0.0
R141_S2,2019-04-25 01:45:00,0,0.0
R142_S1,2019-04-25 01:45:00,1,6.0
R142_S2,2019-04-25 01:45:00,12,26.28
R154_S1,2019-04-25 01:45:00,1,0.0
R001_SM1,2019-04-25 02:00:00,16,33.3030303030303
R001_SM2,2019-04-25 02:00:00,1,3.5
R001_SM3,2019-04-25 02:00:00,3,22.8333333333333
R002_S1,2019-04-25 02:00:00,1,22.0
R002_S2,2019-04-25 02:00:00,0,0.0
R002_S4,2019-04-25 02:00:00,3,7.33333333333333
R002_S5,2019-04-25 02:00:00,18,24.2222222222222
R003_SM7,2019-04-25 02:00:00,10,47.65
R003_SM8,2019-04-25 02:00:00,4,30.625
R003_SM9,2019-04-25 02:00:00,2,31.75
R028_S1,2019-04-25 02:00:00,2,16.0
R028_S2,2019-04-25 02:00:00,0,0.0
R028_S3,2019-04-25 02:00:00,3,29.3333333333333
R029_S1,2019-04-25 02:00:00,2,20.75
R029_S2,2019-04-25 02:00:00,1,26.0
R030_S2,2019-04-25 02:00:00,6,39.6666666666667
R031_S1,2019-04-25 02:00:00,3,24.5714285714286
R031_S2,2019-04-25 02:00:00,2,20.8
R032_S2,2019-04-25 02:00:00,0,0.0
R032_SM46,2019-04-25 02:00:00,0,0.0
R069_S1,2019-04-25 02:00:00,2,26.75
R069_S4,2019-04-25 02:00:00,12,26.88
R069_SM67,2019-04-25 02:00:00,5,21.6363636363636
R071_S2,2019-04-25 02:00:00,0,0.0
R074_S1,2019-04-25 02:00:00,1,5.0
R074_S3,2019-04-25 02:00:00,1,3.0
R077_S2,2019-04-25 02:00:00,0,34.0
R085_S1,2019-04-25 02:00:00,0,0.0
R085_S2,2019-04-25 02:00:00,0,0.0
R116_S1,2019-04-25 02:00:00,1,11.0
R116_S2,2019-04-25 02:00:00,1,3.5
R131_S1,2019-04-25 02:00:00,1,7.0
R131_S2,2019-04-25 02:00:00,5,48.1818181818182
R131_SM82,2019-04-25 02:00:00,5,40.1818181818182
R131_SM83,2019-04-25 02:00:00,5,50.5454545454545
R133_S2,2019-04-25 02:00:00,5,16.4
R133_S4,2019-04-25 02:00:00,7,37.8571428571429
R134_S1,2019-04-25 02:00:00,2,16.8
R134_S2,2019-04-25 02:00:00,1,12.6666666666667
R135_S1,2019-04-25 02:00:00,1,21.5
R135_S2,2019-04-25 02:00:00,0,0.0
R141_S1,2019-04-25 02:00:00,0,0.0
R141_S2,2019-04-25 02:00:00,0,0.0
R142_S1,2019-04-25 02:00:00,2,11.6
R142_S2,2019-04-25 02:00:00,16,26.15625
R154_S1,2019-04-25 02:00:00,1,0.0
R001_SM1,2019-04-25 02:15:00,12,34.8333333333333
R001_SM2,2019-04-25 02:15:00,2,36.5
R001_SM3,2019-04-25 02:15:00,5,14.0909090909091
R002_S1,2019-04-25 02:15:00,2,1.0
R002_S2,2019-04-25 02:15:00,0,0.0
R002_S4,2019-04-25 02:15:00,0,0.0
R002_S5,2019-04-25 02:15:00,11,23.0
R003_SM7,2019-04-25 02:15:00,7,57.4
R003_SM8,2019-04-25 02:15:00,3,22.7142857142857
R003_SM9,2019-04-25 02:15:00,5,33.0
R028_S1,2019-04-25 02:15:00,1,0.0
R028_S2,2019-04-25 02:15:00,0,0.0
R028_S3,2019-04-25 02:15:00,3,26.3333333333333
R029_S1,2019-04-25 02:15:00,1,11.3333333333333
R029_S2,2019-04-25 02:15:00,1,43.5
R030_S2,2019-04-25 02:15:00,3,25.3333333333333
R031_S1,2019-04-25 02:15:00,1,25.5
R031_S2,2019-04-25 02:15:00,1,21.3333333333333
R032_S2,2019-04-25 02:15:00,1,6.0
R032_SM46,2019-04-25 02:15:00,0,21.0
R069_S1,2019-04-25 02:15:00,4,33.8888888888889
R069_S4,2019-04-25 02:15:00,18,28.0833333333333
R069_SM67,2019-04-25 02:15:00,6,30.8461538461538
R071_S2,2019-04-25 02:15:00,1,11.3333333333333
R074_S1,2019-04-25 02:15:00,0,0.0
